reaction_id,flux_mmol_gDW_h
AASPh,0.0
AASP,0.0
XPPRT,0.0
UGAH,0.0
PRAICh,0.0
PRAIC,0.0
ICH,0.0
HPRT,0.0
GPAR,0.0
GDTP,0.0
GBDP,0.0
FPGFT,0.0
FPAIF,0.0
DMPH,0.0
DAMPH,0.0
APPRT,0.0
AIAL,0.0
PS_asn_L_c,0.0
PCHLDR,0.0
PCHLD450OR,0.0
AROAT,0.0
ABOR,0.0
DVPCHLDR,0.0
DVCHLDR,0.0
CPP3O,0.0
CPP1O,0.0
CHLDAO,0.0
CHLDADMT,0.0
CHLAE,0.0
CHLADMT,0.0
ORDCh,0.0
ORDC,0.0
CMPA,0.0
ARDC,0.0
AGDIn,0.0
AGDI,0.0
PTOR,0.0
MPML,0.0
SUCDHh,0.0
PSIIblue,0.0
PSIblue,0.0
CEF,0.0
TYRTAAH,0.0
TRPTAH,0.0
PHETAH,0.0
PHETL,0.0
AROHLh,0.0
AROHL,0.0
AROORh,0.0
AROAT2h,0.0
AROAT2,0.0
AROATh,0.0
G1SAT,0.0
HEMELh,0.0
HEMELm,0.0
MPMT,0.0
AUS,0.0
MPMECY2,0.0
MPMECY1,0.0
HOXG,0.0
HEMEOSm,0.0
HEMEASm,0.0
GLUTRS,0.0
GLUTRR,0.0
GGCHLDBR,0.0
GGCHLDAR,0.0
FERO,0.0
FE2TFENR,0.0
FCLT,0.0
DVPCHLD646OR,0.0
DVPCHLD450OR,0.0
CPPPGO,0.0
CHLBSP,0.0
CHLBSG,0.0
CHLASP,0.0
CHLASG,0.0
CHLASE,0.0
BILIRED,0.0
APOFETNs,0.0
UPP3O,0.0
UPP1R,0.0
TFENFEOR,0.0
PPBNGD,0.0
PHPHBDDMC,0.0
PC2D,0.0
AUNOR,0.0
TSULe,0.0
DHPAH,0.0
GLUtm,0.0
DTTPtm,0.0
FA40COAtm,0.0
FADH2tm,0.0
FADtm,0.0
FRDPtm,0.0
GLUNA1tm,0.0
GLYNA1tm,0.0
AKGICITtm,0.0
GMPtm,0.0
H2O2tm,0.0
HCYStm,0.0
HMGCOAtm,0.0
ILEtm,0.0
LEUtm,0.0
D_LACtm,0.0
DHORStm,0.0
DGTPtm,0.0
DCTPtm,0.0
DATPtm,0.0
COAtm,0.0
CITRLtm,0.0
CITICITtm,0.0
ASPNA1tm,0.0
ASNtm,0.0
ASNNA1tm,0.0
ARG_Ltm,0.0
AMETAMtm,0.0
ALLTTtm,0.0
ALLTNtm,0.0
ALAtm,0.0
ALANA1tm,0.0
MALAKGtm,0.0
MALOAAtm,0.0
METHFtm,0.0
SELTtm,0.0
TSULtm2,0.0
THMPPtm,0.0
NICRNTtm,0.0
PRPPtm,0.0
BTNtm,0.0
ASCBtm,0.0
VALtm,0.0
UTPtm,0.0
UDPtm,0.0
THRtm,0.0
THRNA1tm,0.0
SPMDtmr,0.0
SO4NA1tm,0.0
SERNA1tm,0.0
PYRtm,0.0
METtm,0.0
PROtm,0.0
PRONA1tm,0.0
PPCOAtm,0.0
PPAtm,0.0
PNTORtm,0.0
PMTCOAtm,0.0
PINA1tm,0.0
PHEMEtm,0.0
ORNtm,0.0
OAAICITtm,0.0
OAACITtm,0.0
OAAAKGtm,0.0
NA1tm,0.0
NA1Htm,0.0
ALABtm,0.0
AKGCITtm,0.0
NCAMtm,0.0
H2Otf,0.0
PMTCOAts,0.0
RETINALts,0.0
NADPHtf,0.0
NADPtf,0.0
OAAtf,0.0
FDPtf,0.0
PItf,0.0
AKG_na_tm,0.0
PYRtf,0.0
2PGLYCtx,0.0
3PGtx,0.0
ACCOAtx,0.0
ASNtx,0.0
ASPtx,0.0
NADts,0.0
NADPts,0.0
NADPHts,0.0
NADHts,0.0
Hts,0.0
HDCAts,0.0
H2Ots,0.0
COAts,0.0
ACts,0.0
ACCOAts,0.0
PGP1819Z160t,0.0
PGP18111Z160t,0.0
PG1819Z160t,0.0
PG18111Z160t,0.0
PE1829Z12Z1835Z9Z12Zt,0.0
PE1819Z1845Z9Z12Z15Zt,0.0
PE1819Z1835Z9Z12Zt,0.0
CO2tx,0.0
NH4tx,0.0
O2tx,0.0
AMETtg,0.0
ACACtm,0.0
5MTAtm,0.0
5FTHFtm,0.0
4MOPtm,0.0
4ABUTtm,0.0
3MOPtm,0.0
2DHPtm,0.0
23DHMBtm,0.0
1ACPCtm,0.0
GTHRDtm,0.0
UDPtg,0.0
UDPGALtg,0.0
UDPARAtg,0.0
Htg,0.0
AHCYStg,0.0
PItx,0.0
4HPROtg,0.0
FORtxi,0.0
FA40COAabcp,0.0
FA160COAabcp,0.0
NADPtx,0.0
NADPHtx,0.0
H2O2tx,0.0
GLYtx,0.0
GLYCLTtx,0.0
FADtx,0.0
FADH2tx,0.0
ALAtx,0.0
ALANA1tx,0.0
ACACtx,0.0
CMTEPtm,0.0
Stm,0.0
DLDLBT,0.0
MCDH_2mb2coa,0.0
ECH_3hibutcoa,0.0
ECH_3hmbcoa,0.0
HIBH,0.0
HMGL,0.0
IVCDH,0.0
MCDH,0.0
MCTC,0.0
KARI_23dhmp,0.0
MHGS,0.0
MMSDH,0.0
MOD,0.0
MOD_2mbdhl,0.0
MOD_2mhop,0.0
MOD_3mhtpp,0.0
DHRT_ivcoa,0.0
DHRT_ibcoa,0.0
DHRT_2mbcoa,0.0
ALDH,0.0
ACCAT,0.0
MGC,0.0
HMNOS,0.0
HMNO,0.0
ECH_3hivcoa,0.0
VALTAH,0.0
LEUTAH,0.0
ILETAH,0.0
ILETLm,0.0
VALTLh,0.0
VALTL,0.0
TAL,0.0
MOPC,0.0
